applicant_age,education,home_ownership,annual_income,employment_years,credit_history_years,credit_score,previous_defaults,loan_purpose,loan_amount,loan_term_months,monthly_debt,debt_to_income,interest_rate,defaulted
53,Graduate,Rent,70871.0,3.5,7.0,668.0,0,Vehicle,43009.0,60,2349.0,0.398,11.83,1
40,Not Graduate,Mortgage,29461.0,5.4,13.2,601.0,1,Education,26361.0,60,1041.0,0.424,18.13,0
28,Graduate,Own,40812.0,3.2,2.0,506.0,1,Business,56168.0,24,954.0,0.281,19.24,1
47,Not Graduate,Rent,37255.0,3.2,13.9,655.0,0,Education,13944.0,24,768.0,0.247,13.02,0
48,Not Graduate,Rent,55471.0,3.1,15.0,776.0,0,Debt Consolidation,13115.0,72,699.0,0.151,6.75,0
45,Graduate,Own,42243.0,4.7,6.5,734.0,0,Business,40044.0,60,1196.0,0.34,10.52,0
46,Post Graduate,Rent,74014.0,5.7,20.7,773.0,0,Debt Consolidation,41211.0,60,1452.0,0.235,8.51,0
35,Graduate,Mortgage,82819.0,6.1,8.8,696.0,1,Home Improvement,24289.0,60,3500.0,0.507,12.93,0
28,Not Graduate,Own,77586.0,7.0,2.6,720.0,0,Home Improvement,40173.0,24,3001.0,0.464,9.17,1
28,Graduate,Rent,77782.0,3.7,1.7,524.0,2,Vehicle,33538.0,36,1250.0,0.193,21.32,1
21,Graduate,Mortgage,69797.0,5.8,1.0,750.0,0,Medical,7515.0,24,1065.0,0.183,7.9,0
41,Graduate,Own,53437.0,6.2,15.1,658.0,0,Debt Consolidation,101504.0,36,1621.0,0.364,11.78,0
37,Post Graduate,Rent,56435.0,10.9,4.0,657.0,1,Debt Consolidation,14154.0,24,1700.0,0.361,13.98,0
33,Graduate,Mortgage,72588.0,1.8,4.5,659.0,0,Education,16821.0,36,418.0,0.069,9.94,0
21,Post Graduate,Mortgage,45431.0,2.2,1.0,621.0,0,Debt Consolidation,53224.0,48,1397.0,0.369,14.5,0
24,Graduate,Own,60091.0,8.0,1.8,701.0,0,Debt Consolidation,28591.0,60,1039.0,0.207,10.19,0
50,Graduate,Mortgage,35100.0,8.5,12.0,760.0,0,Home Improvement,18540.0,24,335.0,0.115,7.73,0
31,Graduate,Own,55906.0,8.0,5.0,741.0,0,Business,29490.0,60,1218.0,0.261,10.32,1
42,Graduate,Own,35448.0,7.9,11.1,613.0,1,Debt Consolidation,17427.0,24,160.0,0.054,14.43,0
23,Post Graduate,Rent,60877.0,2.0,1.0,661.0,0,Education,18212.0,72,1011.0,0.199,13.29,1
54,Graduate,Rent,42017.0,15.2,14.6,672.0,1,Vehicle,43657.0,36,979.0,0.28,13.36,1
36,Not Graduate,Own,32634.0,10.2,3.6,713.0,0,Home Improvement,21505.0,12,423.0,0.156,7.87,0
41,Not Graduate,Own,44902.0,2.0,3.9,572.0,0,Debt Consolidation,15715.0,60,763.0,0.204,13.72,0
64,Not Graduate,Mortgage,15691.0,4.9,35.0,619.0,1,Education,18620.0,12,638.0,0.488,15.47,1
55,Not Graduate,Own,20753.0,,7.5,590.0,0,Vehicle,25966.0,48,1011.0,0.585,16.1,1
35,Post Graduate,Own,104666.0,5.5,3.1,720.0,0,Debt Consolidation,,60,2063.0,0.237,11.36,1
31,Not Graduate,Mortgage,49907.0,4.4,8.2,617.0,0,Home Improvement,23875.0,36,1473.0,0.354,14.08,0
34,Not Graduate,Mortgage,33726.0,2.8,11.3,577.0,0,Home Improvement,34251.0,48,545.0,0.194,14.22,0
44,Not Graduate,Rent,72389.0,,17.3,672.0,0,Home Improvement,21710.0,48,2751.0,0.456,12.13,0
37,Not Graduate,Mortgage,35029.0,11.3,4.6,642.0,0,Debt Consolidation,17626.0,24,343.0,0.118,12.42,0
34,Graduate,Mortgage,43877.0,4.3,8.3,687.0,0,Vehicle,19279.0,48,282.0,0.077,10.5,0
54,Not Graduate,Rent,32828.0,7.0,21.3,584.0,1,Business,82107.0,72,118.0,0.043,16.15,1
37,Graduate,Rent,134320.0,5.6,11.5,678.0,1,Debt Consolidation,93547.0,36,1133.0,0.101,11.5,0
63,Not Graduate,Rent,51914.0,7.9,10.8,707.0,0,Debt Consolidation,29009.0,24,1481.0,0.342,13.14,1
39,Post Graduate,Mortgage,79613.0,,8.2,722.0,0,Business,56886.0,36,3283.0,0.495,10.53,0
58,Post Graduate,Own,89926.0,3.9,13.6,803.0,0,Debt Consolidation,16866.0,48,2867.0,0.383,6.81,0
42,Not Graduate,Own,20289.0,4.5,13.2,686.0,0,Medical,16764.0,72,394.0,0.233,12.17,0
49,Not Graduate,Mortgage,35748.0,11.1,11.6,640.0,0,Medical,29704.0,60,1001.0,0.336,13.97,0
30,Not Graduate,Rent,57314.0,6.0,5.1,649.0,0,Debt Consolidation,7708.0,60,1231.0,0.258,11.57,0
29,Graduate,Rent,56849.0,5.9,5.2,708.0,0,Medical,35472.0,36,1587.0,0.335,11.34,0
43,Graduate,Mortgage,153651.0,10.9,16.9,804.0,0,Vehicle,20733.0,48,3128.0,0.244,6.31,0
49,Graduate,Mortgage,44764.0,12.0,22.3,710.0,0,Debt Consolidation,15633.0,36,856.0,0.229,10.46,0
38,Graduate,Mortgage,87067.0,1.1,11.2,641.0,0,Home Improvement,35014.0,12,730.0,0.101,12.03,1
24,Post Graduate,Rent,104774.0,2.3,1.1,659.0,0,Vehicle,62526.0,36,4155.0,0.476,15.81,0
23,Post Graduate,Rent,77740.0,9.1,2.2,686.0,1,Medical,19524.0,48,1324.0,0.204,14.04,1
22,Not Graduate,Rent,54043.0,6.2,1.0,598.0,1,Education,33212.0,60,1658.0,0.368,17.58,1
21,Graduate,Own,49982.0,12.1,1.0,507.0,2,Vehicle,36298.0,60,504.0,0.121,21.0,1
39,Not Graduate,Rent,19218.0,1.8,8.7,533.0,1,Home Improvement,32274.0,36,460.0,0.287,16.9,1
50,Graduate,Mortgage,66645.0,6.7,18.5,796.0,0,Debt Consolidation,16347.0,36,1606.0,0.289,7.49,0
38,Not Graduate,Mortgage,56633.0,8.2,5.0,655.0,0,Debt Consolidation,31982.0,60,1363.0,0.289,11.74,0
21,Post Graduate,Rent,94883.0,4.8,1.0,729.0,0,Education,31297.0,36,1290.0,0.163,8.94,0
36,Graduate,Rent,58594.0,8.9,3.7,721.0,0,Business,8508.0,36,1888.0,0.387,10.49,0
36,Graduate,Rent,88140.0,9.2,9.2,796.0,0,Business,61192.0,60,3002.0,0.409,6.0,0
61,Graduate,Own,38573.0,5.6,26.0,597.0,1,Debt Consolidation,12369.0,60,389.0,0.121,14.9,0
22,Graduate,Mortgage,110280.0,5.4,1.0,671.0,0,Medical,24887.0,72,737.0,0.08,10.76,0
34,Graduate,Rent,36514.0,9.8,6.5,620.0,0,Home Improvement,65171.0,60,976.0,0.321,14.62,1
57,Graduate,Mortgage,54256.0,6.6,26.7,688.0,1,Business,33390.0,60,969.0,0.214,11.63,0
43,Graduate,Rent,77373.0,7.9,10.3,804.0,0,Debt Consolidation,15909.0,36,313.0,0.049,5.5,0
44,Graduate,Rent,45174.0,6.6,11.1,711.0,0,Debt Consolidation,38466.0,48,1086.0,0.288,9.32,1
39,Graduate,Mortgage,79782.0,6.4,10.4,691.0,0,Debt Consolidation,61147.0,36,2060.0,0.31,10.71,0
42,Not Graduate,Rent,40026.0,5.4,13.9,725.0,0,Home Improvement,15371.0,36,519.0,0.156,7.86,1
47,Graduate,,60064.0,8.2,18.3,701.0,0,Debt Consolidation,7725.0,60,1072.0,0.214,11.7,0
29,Post Graduate,Own,67195.0,3.5,1.9,638.0,0,Vehicle,54202.0,36,1031.0,0.184,13.14,1
48,Graduate,Rent,,1.9,20.3,671.0,0,Debt Consolidation,45243.0,24,174.0,0.048,13.44,0
23,Graduate,Rent,156840.0,5.9,1.4,766.0,0,Debt Consolidation,34950.0,36,5856.0,0.448,8.55,0
42,Graduate,Rent,39031.0,12.2,16.7,674.0,0,Medical,8618.0,60,127.0,0.039,11.25,0
40,Not Graduate,Rent,16694.0,6.6,10.5,693.0,0,Business,53041.0,36,102.0,0.073,8.48,1
31,Graduate,Own,39671.0,5.1,5.3,631.0,0,Business,67411.0,12,1484.0,0.449,15.48,0
38,Not Graduate,Rent,49545.0,4.7,5.5,525.0,1,Debt Consolidation,92598.0,48,1031.0,0.25,18.14,0
31,Graduate,Mortgage,48070.0,,5.3,686.0,0,Home Improvement,,24,1504.0,0.375,11.47,0
26,Post Graduate,Mortgage,115292.0,0.7,3.0,686.0,0,Business,41672.0,24,2721.0,0.283,12.51,0
34,Graduate,Rent,88608.0,11.2,10.5,707.0,0,Medical,7098.0,36,3170.0,0.429,12.44,0
26,Graduate,Rent,49352.0,4.2,4.5,617.0,1,Home Improvement,48175.0,60,952.0,0.231,13.98,0
42,Post Graduate,Rent,34196.0,5.9,10.8,632.0,0,Medical,38982.0,12,939.0,0.33,13.11,1
25,Graduate,Rent,31971.0,4.9,3.7,547.0,1,Home Improvement,35317.0,24,238.0,0.089,18.37,1
46,Graduate,Rent,56135.0,3.8,18.9,705.0,0,Medical,44567.0,24,950.0,0.203,9.64,0
25,Not Graduate,Mortgage,23098.0,11.6,3.9,637.0,0,Home Improvement,18398.0,60,171.0,0.089,12.19,0
32,Graduate,Rent,48267.0,2.9,4.9,637.0,0,Business,33865.0,36,1164.0,0.289,13.44,0
31,Graduate,Own,107968.0,8.3,3.5,644.0,0,Home Improvement,25630.0,48,2582.0,0.287,14.14,1
53,Graduate,Mortgage,66455.0,2.1,25.9,720.0,0,Home Improvement,51770.0,24,212.0,0.038,9.43,0
42,Graduate,Mortgage,58137.0,5.4,12.2,761.0,0,Debt Consolidation,52413.0,60,314.0,0.065,7.12,0
36,Post Graduate,Rent,45639.0,10.7,7.7,710.0,0,Home Improvement,33683.0,36,1303.0,0.343,8.4,0
43,Not Graduate,Rent,50682.0,4.4,10.2,660.0,0,Debt Consolidation,32726.0,36,1566.0,0.371,13.23,1
21,Not Graduate,Mortgage,41573.0,7.9,1.0,673.0,0,Education,38292.0,36,1148.0,0.331,11.99,0
38,Graduate,Rent,63411.0,4.3,5.6,707.0,0,Debt Consolidation,23504.0,48,2037.0,0.385,12.84,0
60,Not Graduate,Mortgage,64779.0,4.8,14.7,671.0,0,Debt Consolidation,59810.0,36,1628.0,0.302,12.36,0
39,Not Graduate,Mortgage,69962.0,9.0,10.1,767.0,0,Debt Consolidation,22058.0,12,1368.0,0.235,7.4,0
39,Graduate,Own,60355.0,8.0,9.7,633.0,1,Debt Consolidation,35820.0,48,1642.0,0.326,13.61,0
44,Post Graduate,Rent,91787.0,12.2,12.7,745.0,0,Debt Consolidation,20375.0,72,1411.0,0.184,8.36,0
48,Not Graduate,Rent,37092.0,4.4,6.4,717.0,0,Debt Consolidation,47608.0,60,1202.0,0.389,10.95,1
21,Not Graduate,Own,77746.0,7.2,1.0,609.0,0,Education,26775.0,72,596.0,0.092,12.96,0
21,Graduate,Own,38208.0,6.1,1.0,594.0,0,Business,118981.0,36,981.0,0.308,13.06,1
40,Graduate,Mortgage,51877.0,7.3,6.1,704.0,0,Vehicle,26382.0,48,1473.0,0.341,7.7,0
30,Not Graduate,Mortgage,81473.0,10.2,7.5,754.0,0,Medical,38836.0,60,1156.0,0.17,7.11,0
52,Not Graduate,Mortgage,37602.0,3.9,14.6,739.0,0,Debt Consolidation,19995.0,36,1475.0,0.471,7.51,0
35,Graduate,Mortgage,31152.0,7.0,6.1,555.0,0,Business,32245.0,24,400.0,0.154,13.97,0
21,Graduate,Mortgage,47342.0,11.5,1.0,708.0,0,Business,37309.0,24,815.0,0.207,10.22,0
24,Not Graduate,Rent,87363.0,6.1,2.3,655.0,0,Business,46322.0,72,2286.0,0.314,13.94,0
21,Graduate,Rent,20500.0,8.9,1.0,576.0,1,Education,18759.0,60,927.0,0.543,15.36,1
35,Graduate,Own,59640.0,1.5,9.8,674.0,0,Home Improvement,20662.0,36,643.0,0.129,9.63,0
36,Not Graduate,Own,35110.0,6.3,4.3,684.0,0,Home Improvement,29706.0,60,498.0,0.17,11.05,0
33,Graduate,Rent,52816.0,4.5,5.6,658.0,0,Business,47543.0,60,976.0,0.222,11.28,0
50,Graduate,Own,48686.0,0.9,12.3,710.0,0,Home Improvement,27723.0,36,985.0,0.243,10.24,0
51,Graduate,Rent,87747.0,7.9,16.9,715.0,0,Debt Consolidation,25625.0,12,2246.0,0.307,10.63,0
36,Post Graduate,Rent,74688.0,7.0,9.9,710.0,0,Medical,11176.0,60,2371.0,0.381,10.3,1
21,Graduate,Mortgage,89746.0,3.5,1.0,707.0,0,Vehicle,37243.0,36,1441.0,0.193,11.24,1
45,Not Graduate,Own,83234.0,2.3,12.9,787.0,0,Debt Consolidation,44962.0,36,281.0,0.041,9.03,0
44,Post Graduate,Own,73889.0,15.5,6.7,767.0,0,Medical,39348.0,48,2118.0,0.344,7.4,0
41,Not Graduate,Own,39727.0,7.3,13.1,688.0,0,Medical,25188.0,36,1386.0,0.419,12.73,0
49,Not Graduate,Own,55342.0,7.2,14.1,728.0,0,Education,20296.0,60,1336.0,0.29,11.99,0
25,Not Graduate,,60363.0,3.8,2.8,713.0,0,Debt Consolidation,23695.0,36,1950.0,0.388,12.28,0
60,Graduate,Own,33895.0,4.9,18.6,694.0,0,Medical,25246.0,60,937.0,0.332,10.31,1
27,Not Graduate,Rent,51937.0,11.5,3.1,640.0,0,Business,37790.0,36,583.0,0.135,11.61,0
46,Post Graduate,Own,65040.0,6.2,16.4,742.0,0,Debt Consolidation,17768.0,36,2205.0,0.407,7.86,0
21,Not Graduate,Rent,38653.0,11.8,1.0,517.0,2,Home Improvement,11212.0,12,594.0,0.184,19.5,1
28,Graduate,,41734.0,7.4,5.9,649.0,0,Business,28128.0,12,1307.0,0.376,12.27,0
55,Graduate,Mortgage,42977.0,10.4,23.0,685.0,0,Debt Consolidation,24287.0,24,1231.0,0.344,11.95,0
35,Post Graduate,,128271.0,1.4,7.3,780.0,0,Vehicle,33525.0,36,4887.0,0.457,7.44,1
47,Graduate,Rent,48349.0,3.7,8.6,689.0,0,Debt Consolidation,22577.0,24,1674.0,0.415,11.74,0
41,Not Graduate,Rent,78139.0,6.1,4.0,660.0,0,Education,24629.0,36,1465.0,0.225,11.95,1
37,Graduate,Mortgage,60413.0,5.2,5.3,632.0,0,Home Improvement,30073.0,48,1679.0,0.334,12.74,0
53,Not Graduate,Own,28052.0,8.0,11.9,672.0,1,Debt Consolidation,66948.0,60,581.0,0.249,14.14,1
35,Not Graduate,Mortgage,50889.0,2.3,3.8,690.0,0,Home Improvement,25809.0,36,1593.0,0.376,10.93,0
21,Graduate,Mortgage,33371.0,2.3,1.0,629.0,0,Home Improvement,12067.0,36,66.0,0.024,12.16,0
29,Graduate,,74848.0,7.8,3.5,726.0,0,Education,19409.0,72,520.0,0.083,7.28,0
44,Not Graduate,Mortgage,42534.0,10.1,4.8,651.0,0,Education,76450.0,36,623.0,0.176,10.94,0
42,Graduate,Own,83686.0,4.9,10.1,711.0,0,Vehicle,62241.0,36,1853.0,0.266,11.2,0
21,Graduate,Own,108564.0,12.4,1.0,751.0,0,Vehicle,47419.0,24,2924.0,0.323,7.19,0
30,Not Graduate,Own,21389.0,14.1,4.0,696.0,0,Debt Consolidation,41599.0,24,514.0,0.288,11.61,1
32,Graduate,Mortgage,46281.0,5.8,9.1,613.0,0,Business,56513.0,48,424.0,0.11,12.43,0
34,Not Graduate,Rent,27100.0,4.8,10.2,606.0,0,Education,24799.0,24,829.0,0.367,12.09,0
23,Graduate,Rent,150425.0,4.1,2.2,727.0,0,Vehicle,45570.0,36,4650.0,0.371,9.62,0
31,Graduate,Rent,46717.0,,6.7,696.0,0,Medical,38176.0,12,1496.0,0.384,12.07,1
30,Post Graduate,Mortgage,40338.0,8.7,7.0,593.0,1,Business,60752.0,36,1476.0,0.439,19.48,1
46,Graduate,Own,156084.0,3.4,11.2,767.0,0,Vehicle,20348.0,48,5316.0,0.409,10.95,1
47,Graduate,Rent,41080.0,3.0,16.8,667.0,0,Business,31937.0,24,1039.0,0.304,10.85,0
36,Not Graduate,Rent,22510.0,3.6,5.2,600.0,0,Debt Consolidation,19871.0,12,227.0,0.121,14.18,1
34,Post Graduate,Own,43286.0,5.8,4.4,597.0,0,Education,48938.0,60,1196.0,0.332,13.97,0
40,Not Graduate,Mortgage,49811.0,6.1,15.7,747.0,0,Business,45109.0,60,629.0,0.152,7.64,0
29,Not Graduate,Mortgage,47674.0,8.4,4.8,594.0,1,Home Improvement,35090.0,72,1826.0,0.46,18.11,1
25,Graduate,Mortgage,39097.0,5.5,1.1,697.0,0,Business,52400.0,24,704.0,0.216,10.64,0
28,Graduate,Mortgage,45786.0,2.2,2.5,583.0,0,Medical,10667.0,48,1122.0,0.294,15.02,0
31,Post Graduate,Rent,74663.0,4.7,5.2,716.0,0,Vehicle,45937.0,36,2047.0,0.329,8.44,1
25,Post Graduate,Rent,132273.0,5.9,3.6,705.0,0,Debt Consolidation,21005.0,36,3557.0,0.323,9.58,0
40,Not Graduate,Own,54259.0,4.0,15.1,794.0,0,Education,22082.0,60,1903.0,0.421,7.02,0
46,Graduate,Own,,7.0,6.6,523.0,1,Home Improvement,17861.0,24,363.0,0.099,18.25,1
21,Graduate,Rent,51391.0,1.0,1.0,719.0,0,Debt Consolidation,29555.0,36,1007.0,0.235,10.52,0
38,Graduate,Mortgage,80529.0,5.5,4.6,702.0,0,Medical,22355.0,36,3181.0,0.474,13.41,0
36,Post Graduate,Rent,155265.0,11.2,9.8,675.0,2,Education,13160.0,24,4764.0,0.368,14.48,0
42,Not Graduate,Rent,28409.0,10.0,11.5,623.0,1,Debt Consolidation,10572.0,60,585.0,0.247,16.87,1
38,Graduate,Rent,94028.0,6.3,11.7,628.0,1,Medical,20747.0,36,1919.0,0.245,14.46,1
22,Graduate,Mortgage,49476.0,6.0,1.1,690.0,0,Business,,48,1069.0,0.259,10.93,0
24,Graduate,Mortgage,27422.0,7.6,1.0,671.0,0,Debt Consolidation,41966.0,48,1258.0,0.551,12.84,1
38,Graduate,Own,25084.0,3.0,6.2,559.0,1,Debt Consolidation,49038.0,36,1038.0,0.497,18.7,1
49,Not Graduate,Mortgage,85129.0,9.5,11.4,677.0,1,Medical,20801.0,24,551.0,0.078,12.96,1
21,Not Graduate,Mortgage,89820.0,12.2,1.0,736.0,1,Vehicle,23283.0,12,1288.0,0.172,11.74,0
42,Graduate,Rent,44087.0,5.5,12.4,704.0,0,Business,35919.0,36,441.0,0.12,9.39,0
51,Not Graduate,Mortgage,42450.0,6.3,24.4,675.0,0,Debt Consolidation,44023.0,72,522.0,0.148,10.91,0
36,Post Graduate,Rent,32689.0,8.5,4.4,684.0,0,Debt Consolidation,68660.0,72,459.0,0.168,9.6,0
44,Graduate,Own,80251.0,3.7,18.7,,0,Home Improvement,21956.0,36,2337.0,0.349,11.38,0
30,Graduate,Rent,56231.0,12.5,3.2,589.0,1,Business,32988.0,36,1918.0,0.409,17.22,1
37,Not Graduate,Own,23226.0,15.3,6.8,690.0,0,Business,38836.0,48,131.0,0.068,9.03,0
21,Graduate,Own,62451.0,7.9,1.0,637.0,0,Business,32998.0,60,1048.0,0.201,11.04,1
21,Not Graduate,Rent,24992.0,13.0,1.0,651.0,0,Business,27743.0,48,585.0,0.281,12.5,0
48,Not Graduate,Own,60019.0,2.8,8.6,707.0,0,Home Improvement,26394.0,60,1016.0,0.203,11.41,0
27,Graduate,Own,34987.0,6.9,2.2,725.0,0,Education,18309.0,12,562.0,0.193,11.03,0
33,Graduate,Own,66282.0,1.5,7.1,705.0,0,Debt Consolidation,42153.0,60,868.0,0.157,8.39,0
23,Post Graduate,Rent,54339.0,4.7,2.0,528.0,1,Education,63616.0,48,1584.0,0.35,19.8,1
22,Graduate,Rent,19642.0,4.7,1.3,561.0,0,Business,32661.0,36,231.0,0.141,15.65,1
36,Not Graduate,Rent,73117.0,4.0,11.4,778.0,0,Education,70593.0,24,2096.0,0.344,9.71,0
30,Not Graduate,Mortgage,74942.0,2.8,6.5,665.0,0,Debt Consolidation,26652.0,24,2772.0,0.444,13.17,1
42,Not Graduate,Mortgage,36929.0,7.9,17.7,626.0,0,Debt Consolidation,19272.0,36,499.0,0.162,12.23,1
43,Not Graduate,Rent,52841.0,3.6,4.4,548.0,1,Education,41253.0,72,1745.0,0.396,19.17,0
42,Not Graduate,Mortgage,56882.0,7.9,17.9,748.0,0,Debt Consolidation,17012.0,48,2014.0,0.425,6.81,0
41,Not Graduate,Own,57715.0,5.7,9.3,692.0,0,Home Improvement,39862.0,36,1923.0,0.4,10.39,0
55,Graduate,Mortgage,123812.0,7.1,17.0,819.0,0,Business,43904.0,24,2336.0,0.226,5.5,0
26,Graduate,Rent,68704.0,4.3,3.3,464.0,3,Debt Consolidation,22651.0,12,784.0,0.137,22.8,1
37,Graduate,Own,48487.0,5.7,3.2,542.0,1,Home Improvement,21372.0,48,1549.0,0.383,16.77,0
50,Graduate,Own,69048.0,16.8,8.9,660.0,0,Business,23625.0,72,1265.0,0.22,11.08,0
52,Graduate,Rent,46935.0,7.0,14.9,657.0,0,Debt Consolidation,49880.0,36,1264.0,0.323,11.71,1
22,Graduate,Rent,35260.0,12.5,1.3,666.0,0,Medical,20518.0,36,1277.0,0.435,12.27,1
35,Graduate,Rent,98606.0,12.1,11.1,713.0,0,Business,45310.0,36,3360.0,0.409,11.1,1
53,Graduate,Own,72430.0,20.2,9.1,792.0,0,Vehicle,28112.0,36,2433.0,0.403,6.62,0
44,Graduate,Mortgage,24644.0,2.5,8.4,592.0,0,Debt Consolidation,25168.0,60,912.0,0.444,14.7,1
40,Not Graduate,Mortgage,34334.0,12.1,11.4,614.0,0,Medical,27752.0,36,998.0,0.349,13.85,1
36,Not Graduate,Rent,65676.0,5.7,6.6,690.0,0,Medical,30735.0,72,1884.0,0.344,9.23,0
34,Not Graduate,Mortgage,23106.0,4.7,5.2,663.0,0,Debt Consolidation,30521.0,48,269.0,0.14,11.11,0
41,Not Graduate,Rent,33281.0,3.1,8.9,710.0,0,Education,25492.0,24,641.0,0.231,10.27,1
35,Post Graduate,Mortgage,240000.0,2.5,9.4,834.0,0,Home Improvement,15558.0,24,4217.0,0.211,6.4,0
38,Not Graduate,Rent,40238.0,7.8,5.5,722.0,0,Education,20294.0,48,456.0,0.136,7.66,0
39,Graduate,Mortgage,92708.0,2.4,4.2,715.0,0,Business,32266.0,60,3339.0,0.432,10.67,1
31,Post Graduate,Mortgage,143210.0,8.0,2.0,756.0,0,Vehicle,28533.0,48,4899.0,0.411,10.66,0
44,Graduate,Mortgage,37842.0,1.1,12.4,540.0,2,Home Improvement,10867.0,60,918.0,0.291,17.95,0
68,Not Graduate,Mortgage,52650.0,3.3,16.3,747.0,0,Vehicle,39764.0,24,1868.0,0.426,9.68,1
21,Not Graduate,Rent,117950.0,5.2,1.0,596.0,1,Medical,27671.0,36,3101.0,0.315,14.54,1
42,Graduate,Mortgage,70038.0,6.1,16.4,631.0,1,Medical,16839.0,12,1973.0,0.338,14.63,0
30,Not Graduate,Own,135406.0,3.4,3.7,739.0,0,Home Improvement,17087.0,36,4625.0,0.41,9.0,0
44,Graduate,Own,42762.0,2.6,7.1,679.0,0,Home Improvement,19387.0,48,1179.0,0.331,12.0,0
39,Graduate,Mortgage,127860.0,4.8,3.4,745.0,1,Vehicle,13657.0,72,4241.0,0.398,11.09,0
46,Graduate,Rent,57383.0,4.1,21.0,714.0,0,Home Improvement,23467.0,36,1499.0,0.313,8.87,0
51,Graduate,Rent,49150.0,4.4,15.8,,0,Debt Consolidation,25624.0,36,786.0,0.192,12.68,1
40,Graduate,Mortgage,75964.0,8.2,13.9,748.0,0,Education,46871.0,48,1466.0,0.232,8.87,0
50,Not Graduate,Rent,44418.0,11.0,21.9,637.0,1,Debt Consolidation,36712.0,60,1369.0,0.37,16.14,1
21,Not Graduate,Rent,44958.0,4.7,1.0,484.0,1,Vehicle,56158.0,24,1385.0,0.37,19.2,1
55,Graduate,Rent,70851.0,8.2,25.6,774.0,0,Home Improvement,30083.0,60,2118.0,0.359,7.97,0
42,Not Graduate,Mortgage,20704.0,4.2,8.1,675.0,0,Education,17135.0,48,619.0,0.359,12.97,0
50,Graduate,Mortgage,39760.0,4.0,16.2,722.0,0,Debt Consolidation,73672.0,36,739.0,0.223,8.72,0
25,Graduate,Rent,78841.0,4.8,4.0,648.0,0,Education,23737.0,72,1513.0,0.23,12.17,0
29,Not Graduate,Own,72965.0,10.1,5.3,735.0,0,Business,16318.0,60,2609.0,0.429,10.05,0
40,Post Graduate,Own,85615.0,2.0,13.4,784.0,0,Home Improvement,31925.0,60,2943.0,0.412,5.72,0
38,Graduate,Mortgage,64482.0,1.8,13.7,800.0,0,Education,11797.0,60,1292.0,0.24,6.83,1
41,Graduate,Mortgage,68258.0,13.8,12.0,753.0,0,Education,26996.0,48,599.0,0.105,7.41,0
50,Not Graduate,Mortgage,71866.0,3.3,18.7,762.0,0,Debt Consolidation,21776.0,12,2694.0,0.45,9.1,0
21,Post Graduate,Rent,38371.0,5.2,1.0,599.0,0,Education,37723.0,36,392.0,0.123,12.56,1
49,Graduate,Rent,,4.4,11.5,626.0,0,Business,64508.0,60,1029.0,0.273,11.74,1
38,Graduate,Own,55078.0,12.3,6.1,738.0,0,Medical,19398.0,24,1143.0,0.249,8.22,0
36,Graduate,Own,62200.0,10.1,9.4,621.0,0,Vehicle,22745.0,72,2488.0,0.48,13.79,0
22,Not Graduate,Own,18074.0,2.6,1.6,615.0,0,Home Improvement,42915.0,12,77.0,0.051,13.1,1
44,Post Graduate,Rent,41400.0,6.1,18.4,751.0,0,Business,25044.0,48,1476.0,0.428,8.94,0
21,Not Graduate,Rent,46353.0,7.0,1.0,686.0,0,Debt Consolidation,29303.0,24,781.0,0.202,10.82,0
45,Graduate,Mortgage,89851.0,8.1,18.0,786.0,0,Vehicle,38094.0,60,1772.0,0.237,7.59,0
22,Not Graduate,Rent,38676.0,1.4,1.0,627.0,0,Vehicle,18309.0,48,691.0,0.214,12.23,1
39,Not Graduate,Own,,1.8,10.6,632.0,0,Debt Consolidation,23972.0,36,392.0,0.136,13.33,0
37,Graduate,Mortgage,72251.0,8.4,13.2,814.0,0,Home Improvement,29897.0,24,2711.0,0.45,7.05,0
51,Not Graduate,Rent,40292.0,2.4,24.6,745.0,0,Business,79380.0,36,1088.0,0.324,8.63,1
36,Graduate,Rent,84660.0,7.0,9.1,759.0,0,Debt Consolidation,14542.0,36,3065.0,0.434,10.52,0
30,Graduate,Rent,51555.0,2.7,5.8,662.0,0,Vehicle,26054.0,24,2151.0,0.501,13.18,0
32,Not Graduate,Own,28274.0,1.9,5.2,532.0,1,Vehicle,59549.0,24,247.0,0.105,14.77,1
52,Graduate,Rent,107933.0,3.2,20.6,815.0,0,Vehicle,48254.0,60,756.0,0.084,5.5,0
44,Post Graduate,Own,127214.0,5.6,8.1,757.0,0,Debt Consolidation,24305.0,36,1734.0,0.164,9.78,0
34,Not Graduate,Rent,30381.0,6.8,2.8,644.0,0,Education,27195.0,24,428.0,0.169,12.1,0
35,Graduate,Rent,68055.0,7.3,10.7,734.0,0,Vehicle,36413.0,24,559.0,0.099,8.31,0
21,Graduate,Rent,49168.0,8.9,1.0,675.0,0,Home Improvement,36830.0,48,290.0,0.071,7.99,0
42,Not Graduate,Rent,61705.0,3.4,13.3,688.0,1,Business,81477.0,36,428.0,0.083,11.68,0
21,Graduate,Rent,38405.0,8.7,1.0,524.0,1,Education,52696.0,12,1031.0,0.322,17.61,1
46,Not Graduate,Mortgage,69139.0,5.9,5.4,695.0,0,Debt Consolidation,13223.0,12,813.0,0.141,9.73,0
39,Graduate,Rent,97512.0,6.4,5.4,818.0,0,Home Improvement,11763.0,12,1557.0,0.192,5.5,0
